id,time,long,lat
6077,2008-02-06 18:04:00,116.40277,39.91339
6077,2008-02-06 18:16:07,116.40735,39.90935
6077,2008-02-06 18:21:09,116.4054,39.91418
6077,2008-02-06 18:26:11,116.41146,39.91792
6077,2008-02-06 18:31:13,116.42681,39.92298
6077,2008-02-06 18:36:14,116.42766,39.94337
6077,2008-02-06 18:41:16,116.43842,39.94604
6077,2008-02-06 18:46:18,116.43589,39.94159
6077,2008-02-06 18:51:20,116.42521,39.93242
6077,2008-02-06 18:56:22,116.41963,39.93195
6077,2008-02-06 19:01:23,116.39742,39.93211
