id,time,long,lat
3916,2008-02-08 13:04:21,116.37935,39.88192
3916,2008-02-08 13:09:23,116.38891,39.88491
3916,2008-02-08 13:14:25,116.40297,39.88685
3916,2008-02-08 13:19:27,116.42013,39.88609
3916,2008-02-08 13:21:38,116.42079,39.88447
3916,2008-02-08 13:24:27,116.42158,39.88456
3916,2008-02-08 13:29:29,116.41288,39.88698
3916,2008-02-08 13:34:31,116.38424,39.88849
3916,2008-02-08 13:39:33,116.37918,39.88825
3916,2008-02-08 13:44:35,116.36716,39.888
3916,2008-02-08 13:46:21,116.35724,39.88672
3916,2008-02-08 13:49:37,116.35521,39.88522
3916,2008-02-08 13:57:58,116.36066,39.88178
3916,2008-02-08 14:02:46,116.37222,39.88175
