id,time,long,lat
604,2008-02-07 22:03:46,116.09856,39.83905
604,2008-02-07 22:08:46,116.09862,39.83902
604,2008-02-07 22:13:46,116.09866,39.83899
604,2008-02-07 22:18:46,116.09889,39.83881
604,2008-02-07 22:23:46,116.09887,39.83881
604,2008-02-07 22:28:46,116.09882,39.83881
604,2008-02-07 22:33:46,116.09879,39.83879
604,2008-02-07 22:38:46,116.09877,39.83877
604,2008-02-07 22:43:46,116.09876,39.83876
604,2008-02-07 22:48:46,116.09875,39.83876
604,2008-02-07 22:53:46,116.09875,39.83876
604,2008-02-07 22:58:46,116.09875,39.83877
604,2008-02-07 23:03:46,116.09875,39.83877
