id,time,long,lat
8956,2008-02-07 14:00:46,116.1994,39.93256
8956,2008-02-07 14:00:54,116.19874,39.93255
8956,2008-02-07 14:05:56,116.17611,39.92735
8956,2008-02-07 14:10:49,116.1496,39.93228
8956,2008-02-07 14:10:57,116.14879,39.93312
8956,2008-02-07 14:15:51,116.12073,39.95435
8956,2008-02-07 14:15:59,116.12024,39.95516
8956,2008-02-07 14:20:52,116.12283,39.95145
8956,2008-02-07 14:21:01,116.12386,39.95046
8956,2008-02-07 14:25:54,116.15149,39.93004
8956,2008-02-07 14:26:02,116.15228,39.92919
8956,2008-02-07 14:29:55,116.15852,39.93091
8956,2008-02-07 16:56:00,116.16305,39.93098
